x,y,ESL,GED,emergencyService,childService,houseAssistance
442036.567,4650006.456,1,0,0,0,0
447915.5909,4636920.958,1,0,0,0,0
445957.2418,4637012.165,1,0,0,0,0
444049.0911,4633875.758,1,0,0,0,0
444449.2379,4631109.008,1,0,0,0,0
442103.5675,4645527.797,1,0,0,0,0
440129.3419,4624972.696,1,0,0,0,0
439737.6668,4643111.333,1,0,0,0,0
440541.3589,4641665.534,1,0,0,0,0
445324.6757,4647214.435,1,0,0,0,0
445406.2883,4646837.396,1,0,0,0,0
442776.6184,4638947.926,0,1,0,0,0
443213.2937,4632849.754,0,1,0,0,0
445635.4308,4638441.402,0,1,0,0,0
444583.3534,4625489.715,0,1,0,0,0
445577.4557,4619057.805,0,1,0,0,0
445577.4557,4619057.805,0,1,0,0,0
441719.4298,4638193.694,1,1,0,0,0
445325.3502,4647194.443,1,1,0,0,0
445390.1616,4646464.44,1,1,0,0,0
442009.6537,4646510.126,1,1,0,0,0
445391.7255,4646129.101,1,1,0,0,0
447523.4215,4633581.742,1,1,0,0,0
439400.6103,4632922.224,1,1,0,0,0
445733.2077,4646462.92,1,1,0,0,0
441882.5187,4648996.169,1,1,0,0,0
440274.7387,4632314.15,1,1,0,0,0
440662.1682,4646497.944,1,1,0,0,0
435406.3475,4627146.8,1,1,0,0,0
443903.4386,4630343.819,1,1,0,0,0
442559.9752,4640061.133,1,1,0,0,0
447419.2469,4637574.151,1,1,0,0,0
445146.931,4638134.254,1,1,0,0,0
447991.1098,4630893.551,1,1,0,0,0
444056.252,4636267.373,1,1,0,0,0
454458.1578,4621701.589,1,1,0,0,0
434783.3442,4645473.553,1,1,0,0,0
438495.0389,4636794.014,1,1,0,0,0
439952.9416,4622970.028,1,1,0,0,0
445919.7662,4643539.05,1,1,0,0,0
443903.4386,4630343.819,1,1,0,0,0
440900.4115,4647145.522,1,1,0,0,0
441628.5352,4643491.95,1,1,0,0,0
450729.6029,4618064.54,1,1,0,0,0
445428.3219,4634363.605,1,1,0,0,0
446460.9421,4625512.042,1,1,0,0,0
445474.2151,4647374.286,1,1,0,0,0
444470.3571,4649427.357,1,1,0,0,0
438693.8145,4636943.309,0,1,1,0,0
444260.5906,4652244.892,1,1,1,0,0
444813.7221,4641914.228,1,1,1,0,0
441365.8613,4639081.549,1,1,1,0,0
445532.188,4634160.729,1,1,1,0,0
440878.522,4646705.998,0,0,0,1,0
444425.0673,4638334.164,0,1,1,1,0
445682.8792,4647032.917,1,0,0,0,1
447533.7496,4636561.792,0,1,1,0,1
447336.2768,4633869.587,1,0,0,1,1
440874.3162,4646499.505,0,1,0,1,1
447915.5909,4636920.958,0,1,1,1,1
