id,x,y,householdID,realizationID,SERIALNO,NP,FS,VEH,GRPIP,HHT,HINCP,HH_income,HUPAC,MV,PARTNER,FACRP
24100037,425908.991,4650623.604,241,37,241,4,1,3,0,1,80080,80080,1,4,0,0
24100134,430225.2065,4647026.589,241,134,241,4,1,3,0,1,80080,80080,1,4,0,0
24100135,433488.4685,4627681.52,241,135,241,4,1,3,0,1,80080,80080,1,4,0,0
24100179,439585.4086,4632852.515,241,179,241,4,1,3,0,1,80080,80080,1,4,0,0
24100198,441613.7,4630195.005,241,198,241,4,1,3,0,1,80080,80080,1,4,0,0
24100257,455282.3082,4613749.87,241,257,241,4,1,3,0,1,80080,80080,1,4,0,0
37400015,442039.5362,4627256.935,374,15,374,5,2,4,0,1,117000,117000,1,4,0,0
37400043,439554.4871,4632188.998,374,43,374,5,2,4,0,1,117000,117000,1,4,0,0
37400118,443675.2864,4633643.771,374,118,374,5,2,4,0,1,117000,117000,1,4,0,0
82000009,442124.3644,4627232.082,820,9,820,2,2,1,0,1,166100,166000,4,3,0,0
83000077,442704.684,4629423.278,830,77,830,1,2,1,0,4,62000,62000,4,5,0,0
83000084,445424.3292,4631880.153,830,84,830,1,2,1,0,4,62000,62000,4,5,0,0
83000098,440361.787,4622295.293,830,98,830,1,2,1,0,4,62000,62000,4,5,0,0
89500003,455439.7716,4618874.643,895,3,895,3,2,1,0,1,56400,56400,4,4,0,0
89500080,456267.623,4612181.229,895,80,895,3,2,1,0,1,56400,56400,4,4,0,0
89500108,442191.6212,4625633.674,895,108,895,3,2,1,0,1,56400,56400,4,4,0,0
102100027,442516.2078,4629430.218,1021,27,1021,1,2,0,50,6,21300,21300,4,1,0,0
102100066,445455.5045,4631984.581,1021,66,1021,1,2,0,50,6,21300,21300,4,1,0,0
135300015,442116.6238,4626176.081,1353,15,1353,0,0,0,0,0,0,0,0,0,0,0
135300067,440991.8201,4629134.852,1353,67,1353,0,0,0,0,0,0,0,0,0,0,0
135300077,439344.569,4627913.139,1353,77,1353,0,0,0,0,0,0,0,0,0,0,0
135300092,440249.4461,4625244.269,1353,92,1353,0,0,0,0,0,0,0,0,0,0,0
152200007,440777.6964,4624999.876,1522,7,1522,1,2,1,26,6,15700,11500,4,6,0,0
165300019,441527.3906,4625016.932,1653,19,1653,2,2,1,19,1,55400,55400,4,4,0,0
165300051,440089.9663,4632455.406,1653,51,1653,2,2,1,19,1,55400,55400,4,4,0,0
201200004,443892.5832,4631497.462,2012,4,2012,1,2,0,36,4,20000,20000,4,3,0,0
201200066,442985.1218,4631843.811,2012,66,2012,1,2,0,36,4,20000,20000,4,3,0,0
201200109,444285.8755,4628250.759,2012,109,2012,1,2,0,36,4,20000,20000,4,3,0,0
215000011,440571.8545,4632332.652,2150,11,2150,3,2,2,13,5,85000,85000,4,1,0,0
215000050,440054.8837,4624296.956,2150,50,2150,3,2,2,13,5,85000,85000,4,1,0,0
215000102,443257.4184,4633876.158,2150,102,2150,3,2,2,13,5,85000,85000,4,1,0,0
225200031,440336.6775,4626596.731,2252,31,2252,2,2,1,0,3,40001,50000,2,4,0,0
225200079,455342.6242,4616231.437,2252,79,2252,2,2,1,0,3,40001,50000,2,4,0,0
225200242,445775.3698,4631897.791,2252,242,2252,2,2,1,0,3,40001,50000,2,4,0,0
251500027,441168.7554,4627836.274,2515,27,2515,2,2,1,18,1,65000,65000,4,4,0,0
322300019,440786.6242,4642985.475,3223,19,3223,0,0,0,0,0,0,0,0,0,0,0
322300064,440275.7011,4642450.671,3223,64,3223,0,0,0,0,0,0,0,0,0,0,0
350100013,440608.2796,4622660.48,3501,13,3501,1,2,1,16,4,52000,0,4,1,0,0
351200013,439236.5416,4624220.846,3512,13,3512,3,2,0,101,7,13300,13100,4,1,0,0
351200041,443141.185,4628251.608,3512,41,3512,3,2,0,101,7,13300,13100,4,1,0,0
360500000,442499.7591,4627769.563,3605,0,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500025,441979.6954,4629256.761,3605,25,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500026,443661.6163,4633622.779,3605,26,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500061,443567.2456,4634265.396,3605,61,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500071,455688.333,4616206.63,3605,71,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500161,438936.6061,4632392.69,3605,161,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500197,455436.3339,4615111.525,3605,197,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500211,440754.6509,4625781.171,3605,211,3605,2,2,2,26,7,75000,75000,4,1,0,0
360500256,440926.2946,4627627.304,3605,256,3605,2,2,2,26,7,75000,75000,4,1,0,0
365200076,441613.3056,4629309.083,3652,76,3652,0,0,0,0,0,0,0,0,0,0,0
380300029,454994.6724,4616714.841,3803,29,3803,2,2,1,22,7,44000,44000,4,3,4,0
380300045,439005.0674,4632224.351,3803,45,3803,2,2,1,22,7,44000,44000,4,3,4,0
380300049,445360.3183,4631907.645,3803,49,3803,2,2,1,22,7,44000,44000,4,3,4,0
380300065,444422.4833,4629051.522,3803,65,3803,2,2,1,22,7,44000,44000,4,3,4,0
436300051,442707.1167,4629308.376,4363,51,4363,2,2,2,0,1,60300,57900,4,7,0,0
436300151,440427.037,4624468.517,4363,151,4363,2,2,2,0,1,60300,57900,4,7,0,0
441800028,455296.0744,4616238.017,4418,28,4418,1,2,0,0,0,0,15400,0,3,0,0
468300111,440492.5215,4639792.122,4683,111,4683,1,2,1,17,4,63000,63000,4,1,0,0
477600051,440911.9291,4632254.769,4776,51,4776,2,2,1,23,1,43500,43500,4,7,0,0
485700012,440284.5586,4639472.764,4857,12,4857,0,0,0,0,0,0,0,0,0,0,0
485700042,443966.6886,4629125.347,4857,42,4857,0,0,0,0,0,0,0,0,0,0,0
549700006,441073.204,4645980.541,5497,6,5497,1,2,1,0,4,76000,75000,4,3,0,0
550100006,438944.2931,4625420.513,5501,6,5501,2,2,1,0,1,52900,52900,4,7,0,0
550100118,440599.4333,4622314.015,5501,118,5501,2,2,1,0,1,52900,52900,4,7,0,0
550100155,442348.0591,4633436.085,5501,155,5501,2,2,1,0,1,52900,52900,4,7,0,0
550100357,443453.3024,4633167.721,5501,357,5501,2,2,1,0,1,52900,52900,4,7,0,0
560200037,444028.1692,4633153.553,5602,37,5602,0,0,0,0,0,0,0,0,0,0,0
678500022,441074.3727,4632854.612,6785,22,6785,1,2,0,21,6,38500,38500,4,2,0,0
684300007,433534.9058,4627717.377,6843,7,6843,0,0,0,0,0,0,0,0,0,0,0
684300057,431365.6568,4648074.016,6843,57,6843,0,0,0,0,0,0,0,0,0,0,0
684400003,424860.6386,4650849.922,6844,3,6844,1,2,0,0,0,0,360,0,3,0,0
724900075,440075.8681,4620810.696,7249,75,7249,10,2,2,0,1,67500,67500,3,3,0,0
724900077,442141.7812,4615109.599,7249,77,7249,10,2,2,0,1,67500,67500,3,3,0,0
749100071,425942.8376,4650545.926,7491,71,7491,1,2,1,11,4,66900,58900,4,1,0,0
749100147,439412.9432,4622542.761,7491,147,7491,1,2,1,11,4,66900,58900,4,1,0,0
749100174,442827.2024,4628106.228,7491,174,7491,1,2,1,11,4,66900,58900,4,1,0,0
