id,x,y,householdID,realizationID,SERIALNO,AGEP,CIT,COW,ENG,PAP,REL,SCHG,SCHL,SEX,DIS,HISP,NATIVITY,persons_income,PINCP,POVPIP,RAC1P,FAGEP,SPORDER
24100037,454631.764,4611908.454,241,37,241,45,1,2,1,0,0,-999999,18,2,2,2,1,30000,30000,364,1,0,1
24100037,454631.764,4611908.454,241,37,241,51,4,1,1,0,1,-999999,19,1,2,2,2,50000,50000,364,1,0,2
24100037,454631.764,4611908.454,241,37,241,23,1,2,1,0,2,-999999,19,2,2,2,1,80,80,364,1,0,3
24100037,454631.764,4611908.454,241,37,241,3,1,-999999,-999999,-999999,7,-999999,1,2,2,2,1,-999999,-999999,364,1,0,4
24100134,441639.1816,4628905.106,241,134,241,45,1,2,1,0,0,-999999,18,2,2,2,1,30000,30000,364,1,0,1
24100134,441639.1816,4628905.106,241,134,241,51,4,1,1,0,1,-999999,19,1,2,2,2,50000,50000,364,1,0,2
24100134,441639.1816,4628905.106,241,134,241,23,1,2,1,0,2,-999999,19,2,2,2,1,80,80,364,1,0,3
24100134,441639.1816,4628905.106,241,134,241,3,1,-999999,-999999,-999999,7,-999999,1,2,2,2,1,-999999,-999999,364,1,0,4
24100135,443660.3728,4634295.554,241,135,241,45,1,2,1,0,0,-999999,18,2,2,2,1,30000,30000,364,1,0,1
24100135,443660.3728,4634295.554,241,135,241,51,4,1,1,0,1,-999999,19,1,2,2,2,50000,50000,364,1,0,2
24100135,443660.3728,4634295.554,241,135,241,23,1,2,1,0,2,-999999,19,2,2,2,1,80,80,364,1,0,3
24100135,443660.3728,4634295.554,241,135,241,3,1,-999999,-999999,-999999,7,-999999,1,2,2,2,1,-999999,-999999,364,1,0,4
24100179,440831.8738,4629115.405,241,179,241,45,1,2,1,0,0,-999999,18,2,2,2,1,30000,30000,364,1,0,1
24100179,440831.8738,4629115.405,241,179,241,51,4,1,1,0,1,-999999,19,1,2,2,2,50000,50000,364,1,0,2
24100179,440831.8738,4629115.405,241,179,241,23,1,2,1,0,2,-999999,19,2,2,2,1,80,80,364,1,0,3
24100179,440831.8738,4629115.405,241,179,241,3,1,-999999,-999999,-999999,7,-999999,1,2,2,2,1,-999999,-999999,364,1,0,4
24100198,441690.6644,4633130.176,241,198,241,45,1,2,1,0,0,-999999,18,2,2,2,1,30000,30000,364,1,0,1
24100198,441690.6644,4633130.176,241,198,241,51,4,1,1,0,1,-999999,19,1,2,2,2,50000,50000,364,1,0,2
24100198,441690.6644,4633130.176,241,198,241,23,1,2,1,0,2,-999999,19,2,2,2,1,80,80,364,1,0,3
24100198,441690.6644,4633130.176,241,198,241,3,1,-999999,-999999,-999999,7,-999999,1,2,2,2,1,-999999,-999999,364,1,0,4
24100257,441175.5216,4625150.821,241,257,241,45,1,2,1,0,0,-999999,18,2,2,2,1,30000,30000,364,1,0,1
24100257,441175.5216,4625150.821,241,257,241,51,4,1,1,0,1,-999999,19,1,2,2,2,50000,50000,364,1,0,2
24100257,441175.5216,4625150.821,241,257,241,23,1,2,1,0,2,-999999,19,2,2,2,1,80,80,364,1,0,3
